ID,Reviews
0001,"['Genuine samsung mobile, well packed, pta approved. I like it. Very beautiful mobile and hope it will be long lasting experience. #11.11', '#11.11 Mobile without mobile warranty card, charger but seems good, packing was not good delivery is pathatic', 'Bought 3 phones and all are new, sealed pack, non active and PTA Approved. No warranty card but Daraz official warranty claimed by seller. #1111', 'orignal pta approved hai.seal pack mob hai.perfomance me mobile buhat zbrdast hai.scren resulation b buhat best hai.jo b purchase karna chahty hai eyes close kar k order kar dy', 'Original Samsung A14 Phone. Its daraz official warranty, not Samsung official warranty. 100% PTA Compliance. #1111', 'no warranty card, no charging cable,no adopter ab pata nahi chalne me kia rang dekhai ga? Allah kher kare. but delivered in time & same as shown.', 'phone tou kaafi acha hai aur delivery bhi bilkul time par thi aur packaging bhi seller ne achi ki hoi thi lekin jou new phone ke dabbe par plastic sheet hoti hai woh nhi thi phone par tou usska seller bas yeh confirm kardein ke yeh bikul new tha na', 'excellent quality ❤️ 💖 💕 💘 this product but charger nhi diya compney walo na mobile kafi Acha', 'best budget phone, is price me or kia chahye , warranty ki wese b zrort ni prti Samsung phones m, mere khyal m daraz pe is s achi koi deal nhi h mobiles segment me in 30k budget', 'Phone original ha official pta approved ha colour maroon mangwaya tha seller na black bheja anyway cover maroon la lia packing b fit ha delivery buht slow th Got this phone in 28419 price which is value for money', 'Excellent experience with this seller. Got original product. Sealed and received on time. 10/10', 'Official PTA approved dual sim UAE version box sealed packed with Samsung seal good set in this price range 👍 2 years warranty recommended']"
0002,"['this is the initial review. the phone is the same as shown.good thing is that it is managed directly by Daraz. packaging was amazing. order came 1 day late only.', 'Daraz is very helpful😎😎I was not have enough money to buy this range mobile so i buy on installment from daraz😍😍😍 Mobile ki look boht achi hy or is range mai best hy😁Thanks daraz and seller🤓', 'Camera satisfactory nh ha, Baki mobile ok ha', 'Daraz is very helpful😎😎I was not have enough money to buy this range mobile so i buy on installment from daraz😍😍😍 Mobile ki look boht achi hy or is range mai best hy😁Thanks daraz and seller🤓', 'very good price comparison to Infinix note 30 pro which black market launch price 61k whereas selling it on 95k', 'Product is good. well packed and everything included. Orignal product. Satisfied with the service. Delivery was on time.', 'The phone is very good and in good price. Delivery was fast. Phone box was wrapped in bubble wrap, so it was safe. Satisfied with the seller.', 'Authentic product in good price . Lightweight, camera is 50MP but quality is not that good. Camera rating 7/10. User interface is very versatile. Face id recognition is not as expected 7/10. At night in ful darkness it has difficultly in recognition. Speaker sound is good.', 'Excellent quality. PTA approved. Fast delivery. Received less than 24 hours of order.', 'very good service fast delivery same as shown in photo, original product', 'delivered within 2 days after use of 3 days mobile was good but warranty card is missing where is warranty card?', 'Mera Oder Monday Ko AA Gaya Tha Review Aj Kr Raha Hu Use Kr K, Mujay BHT Acha discount Mila Hai Jo Device Color Mangwaya Tha Wahi Milha hai Or May Full happy and Satisfied Hu Thanks Daraz Thanx Seller 😊❤️❤️❤️😊', 'Good Quality fast delivery thanks for seller Good Quality', 'I am very happy from quick delivery,proper packing and mobile outlook. its very attractive. its touch very smooth.', 'bot kamal ka cell ha ma ne 3rd order kia ha or 2 or order kru ga or fast delivery thi 3 aug 2023 ko order or 4 aug 2023 ko mil bi gya to good umeriqbal1023@gmail.com']"
0003,['Received as promised almost 10/10 condition genuine phone with genuine parts no issue found. Thanks will buy again in shaa allah']
0004,"['Alhamdulillah same recieved as shown in picture. Same specifications A1 condition and fast delivery. Thanks Daraz. i recmond it and i order one more.', 'achhi packing but charging adapter was normal no handsfree no protector no mobile cover baqi use kr ke pta chalay ga dekhnay nice hai', 'mobile is just go0d. average in use.. bettery timing is go0d.. camera is just average. overall ghar use k lia thek hai jaha bs call waghaira k lia instmal hota ho', ""I upgraded my stand by phone from A1+ to A2+. I received this phone in great packaging. Delivery was fast. Phone seems a little better than A1+. I wish it would have Type C charging. I'm surprised to see the camera quality, display and battery timing of this phone. A perfect phone in this range with very few compromises. Highly recommended."", 'Assalamu Alaikum, Thank God & Thanks Daraz Team & Wander/seller (XIAOMI). Good Packing & Short Delivery time. Original Product 100%. Recommended. Khushe hai ke AAZADI SALE mai itny Best Price main Redmi A2+ Offer kiya gya, Thanks Daraz app.', 'I recently ordered a phone , and I must say it was a convenient experience. The website had a user-friendly interface, making it easy to browse and compare options. Placing the order was straightforward, and they provided clear shipping information. The phone arrived in good condition and on time. Overall, a hassle-free online phone shopping experience.', 'received my order .The product is very good .I am satisfied with Daraz and the seller response is good .But LCS service is poor due to not deliver my parcel to me not to inform me and delivered my parcel any other address.', 'Very good quality and design. Mobile is genuine and working fine so far. Delivery was quite quick and I received the mobile next day of ordering. price was competitive with market. thank you Daraz.', 'Genuine product and good cell phone in this range .. got at the lowest price through HBL Mega Deal 👍 .. Properly packed and timely delivered .. Satisfied with the seller 🙂 .. Cheers 🙂 !! #11.11', 'Awesome 😎 💯% Original Product In This Price Range The Best Of The Best Mobile MI Redmi A2 Plus (3/64).... Thumbs up 👍 Is Price Range May Use Mobiles Ya Refurbish Mobile Milty hain To Kun Apnay Pasay Zaya Karain Use Or Refurbish Mobile lay kar Jab MI Redmi Day Raha Hay Brand New Box Pack Mobile MI Redmi A2 Plus (3/64) Bhot Hi Kaam Price May .....', 'kmallllll hi hogyaaaa😍😍😍hrgiz b ni lgta tha k daraz sy mob b itny best milty hain...first time daraz sy kuch mngaya wo b direct mob mnga liya or drr tha k paisy gay mery lekin boht zbrdst mob mil gya seller boht honest hai bhiiii thank you or delivery boy ny to kmal hi krdiya time sy pehly hi delivery krdi😍❤️', 'Assalamualaikum, I placed the order fearing not to be scammed, but thanks to Allah, the experience was good, but it is a good mobile at this price, thanks to the seller and the drawer app. ❤️❤️❤️', 'Authentic and genuine product, good packing but badly handled by daraz i guess. delivered within timeline. highly recommend seller. thank you so much.', 'Alhamdulillah same recieved as shown in picture. Same specifications A1 condition and fast delivery. Thanks Daraz. i recmond it and i order one more.', 'Excellent Product and Original one. I bought it in #11.11 Sale. #11.11 is valuable for money saving. Awesome discount i get and original product i receive. Very fast delivery services. Xiaomi is doing very very good as always and daraz done it again very awesome sale. Thank you #daraz and #xiaomi 😊']"
0005,"['Acha mobile hai and same cheez delivered ki hai with fast delivery service, satisfied with daraz and seller, i bought many mobiles from daraz aj tak koi b mobile kharab nhe nikla, thanks daraz for maintenance of trust with customers. love from Rawalpindi', 'Allahamdolilah received📩 mobile is original and new as mentioned recommended for buying. same thing which is ordered rather late delivered', 'Nice Mobile at this price with special specs. Delivered late but overall services by daraz are good.. Thanks', 'I received my parcel two days ago. genuine products hai ❤️❤️aur time pr delivered hua.😍 Dill khush ho gia cell dekh kr thank you so much bhai🥰', 'buht acha phone ha original phone one year official warranty ha ❤❤', '#11.11 No doubt the phone is worth buying , color is awesome and the specs are too good. I hope it will continuously perform as it is doing now, I was afraid before buying as there was no any review about this phone on this seller, But Thanks for sending me original device.', 'real mobile set with complete box having wire charger wireless charger. jack pin with non active phone set. this is non active mobile set. i really very happy. thanks dear', 'bahot acha mobile hy thanks daraz and seller', 'Pin packed and original product Recommended seller', 'good packing. arrived at time but mic ka problem lagta hai awaz agay bohat kam jati hai. subah tak daikhta ho nai tu return kar du ga', 'nice product I ma really happy to buy from daraz and thank you seller pin packed product 😍😍😍😍i am really confused to buy this but amazing product ☺ you should also believe the saller and daraz', 'Recommended seller... awesome product']"
0006,"[""I get the mobile its pta approved but made of Vietnam also its doesn't have charger that's the negative point , get the mobile on discounted rate in #11.11 . hopefully it will work for a long time 😃"", ""phone was brand new, box packed, came in secure packaging,can't see the PTA sticker,, but seller said it is approved,, so i believe seller words😊."", 'Got this in just Rs.26419 while market price is still Rs.30000. Thanks to Daraz 11.11 Exactly same as described. delivered in just 2 days. its my 4th cell phone purchase from Daraz. Amazing experience as always', 'Yr bht he sasta mila sale mai market mai 35 ka hai 128gb or wholesale mai bhi 31 se kam mai nahi hai or dosra non active hai vip hogia mene online check kia hai original packing mai tha thanks bhai jan', 'Buhat Acha Mobile hai 100% Original products thanks Daraz Thanks seller', 'Mobile is the same as shown in the picture... Original product. Charger not available in the box.Satisfied with the product but delivery was far away from expectations', '#11.11 PTA approved device received safely. Mobile battery was low and required charging before getting on.', 'thank you thank you daraz and seller PTA pro but charging adaptor nahi nikla', 'nice 👍 good mobile but delivery is to slow over All is very good', 'no charger no warranty card/ no any back cover only one mobile..', 'PTA approved hai online warranty new set okay scene hai', 'best mobile phone very good']"
0007,['highly recommend...']
0008,"['phone is damaged from edges, pictures uploaded', 'Same As Described original product found in reasonable price than Market', 'Seller is fraud. He is sending Redmi 12C instead of Redmi Note 12. DARAZ.PK should take action on this. In last 1 week multiple reviews came from buyers as they have received wrong product. Fortunately i have recorded video while opening my parcel. I have attached video evidence. I hope Daraz.pk will take immediate action and compensate the buyers on priority. I will never order from this store again.', 'Genuine product as shown. Most reasonable price on Daraz even any mobile market.', '#11.11 Good and Pin Packed Mobile Thanks seller and daraz No any Fault', '#11.11 Ordered grey colour but received green. Green is also a very good colour. Product is very good. The price is also very reasonable as compared to the market.', 'Same As Described original product found in reasonable price than Market', 'nice phone, camera results awesome 👍,', 'thanks 👍 good product 👍 colour black kaha tha but green Mila anyway so NYC colour fade', 'so beautiful so elegant just looking like a waooo😔😔😔', 'MashAllah fully packed phone haii.. Delivery Fast.. Recomended.. Thank you♥️', 'Best purchase of the year so far! great refresh rate and works seamlessly! Hope I can upgrade to the pro version.', 'Timely received, No damage, good experience 👍👍', 'Product is good and reasonable. Delayed delivery.', 'brand new and perfectly packed. satisfied!']"
0009,"['acha set hai battery timing bhe thk hi hai or sath mai original charger bhe hai', 'sirf 1 din bad parsel mila official pta aprove h ye shayed with out warranty hoty h andar m&p ki bajay itel ka warranty card h but phone achha h thnx', 'thanks bro ju oder kiya tha wohi same cheez mili thanks daraz thank you so much 💓', 'best keybad mob in a reasonable price battery timing is to good fully recommended', 'Excellent service', 'The seller is a very good person, the product is also very good, the delivery boys are not good parcel jan boj kr late diya', 'The seller delivered as per order. Thanks', 'good product 100% original tnks seller', 'Nice product', 'product achi nai the is Liya return ke Hai ma mobile ma speaker phata howa awaz bilkul sahi nai Hai is Liya return kiya bad experience with this seller', '', '', '', '', '']"
0010,"[""It's 128 gb variant not available in Pakistan but the seller has amazingly provided it. The product is genuine, received well packed and timely deievered. Thanks to seller and daraz..."", 'mobile is pta aproved. moible is very good. this mobile was only available on daraz. in market it is not available .the crated goes to daraz. i bought it on 38919 rupess. 8 128 i hope it is a good price', '#11.11 To cut the long story short: all is well and of fine quality.... really satisfied with each and every single thing.. #11.11', 'The product was same as was expected. Although delivery got very late but wait was worth it. Mobile was pin packed and PTA approved.Thanks a lot', 'i have received my phone in time new and original condition best seller best service thank you daraz for best services!', 'origional product. pta approved hai, non activated phone tha. sim dal k active kiya warranty 1 year activate hui ha. at first i was worried by reading some negative comments but origional product rcvd. 5 stars to seller .', 'I have received original product and I would like to purchase anything anytime with the seller again', 'As i mentioned before this is a daraz exclusive 128gb version which is not available in the offline market thank you so much.', 'Thanks seller', 'Alhamdulillah satisfied, and at a great discount as well in #11.11', ""very nice phone! comes with charger, screen protector, back cover. Charging is really fast and battery last around 2 days. I think it's the best phone in this price if you are not into camera that much."", '#11.11 This phone is amazing... Very fast speed...']"
